1115, 1381, 8, goto
1144, 1376, 8, goto
1149, 1361, 8, goto
1160, 1353, 8, goto
1170, 1336, 8, goto
1162, 1325, 8, goto
1185, 1325, 8, goto
1204, 1328, 8, goto
1212, 1340, 8, goto
1226, 1328, 8, goto
1235, 1320, 8, goto
1230, 1345, 8, goto
1243, 1339, 8, goto
1240, 1361, 8, goto
1244, 1376, 8, goto
1221, 1339, 8, goto
1207, 1349, 8, goto
1204, 1361, 8, goto
1210, 1369, 8, goto
1218, 1374, 8, goto
1209, 1343, 8, goto
1193, 1339, 8, goto
1181, 1364, 8, goto
1178, 1382, 8, goto
1181, 1343, 8, goto
1165, 1340, 8, goto
1156, 1341, 8, goto
1159, 1356, 8, goto
1148, 1366, 8, goto
1142, 1377, 8, goto
1130, 1379, 8, goto
