1060, 1378, 9, goto
1032, 1375, 9, goto
1069, 1385, 10, goto
1101, 1378, 10, goto
1094, 1345, 10, goto
1118, 1352, 10, goto
1132, 1362, 11, goto
1151, 1385, 11, goto
1159, 1365, 11, goto
1154, 1344, 11, goto
1119, 1352, 11, goto
1106, 1340, 10, goto
1100, 1321, 11, goto
1113, 1295, 11, goto
1122, 1310, 11, goto
1126, 1325, 11, goto
1106, 1340, 11, goto
1048, 1357, 10, goto
1070, 1378, 10, goto
1090, 1388, 10, goto
1064, 1343, 11, goto
1094, 1345, 10, goto
1101, 1379, 10, goto
1062, 1385, 10, goto
1032, 1375, 10, goto
